ID;planta;tipo;subtipo;contacto;espacio_origen;espacio_destino;largo_m;alto_m;largo_x_alto;superficie_m2;orientacion;azimut;fuente_largo;fuente_alto;confianza;requiere_revision;evidencia_largo;evidencia_alto;evidencia_superficie;nivel;ring;segmento_origen;nota
F13;P1;FACHADA;PATIO;PATIO_PARCELA;ALMACEN;EXTERIOR;2.06;2.70;2.06 x 2.70;5.56;O;270.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S002;patio: el 95% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F14;P1;FACHADA;SOBRE_CUBIERTA_INFERIOR;EXTERIOR_SOBRE_CUBIERTA;ALMACEN;EXTERIOR;6.59;2.70;6.59 x 2.70;17.79;S;180.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S003;da al aire exterior, levantado sobre la cubierta de la planta inferior | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F15;P1;FACHADA;PATIO;PATIO_PARCELA;ALMACEN;EXTERIOR;1.42;2.70;1.42 x 2.70;3.83;E;90.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S004;patio: el 79% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F16;P1;FACHADA;PATIO;PATIO_PARCELA;ALMACEN;EXTERIOR;5.17;2.70;5.17 x 2.70;13.96;S;179.6;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S005;patio: el 79% de su borde lo forman edificios | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F17;P1;FACHADA;CALLE;EXTERIOR_CALLE;ALMACEN;EXTERIOR;4.34;2.70;4.34 x 2.70;11.73;E;102.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S006;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F18;P1;FACHADA;SOBRE_CUBIERTA_COLINDANTE;EXTERIOR_SOBRE_VECINO;ALMACEN;EXTERIOR;9.05;2.70;9.05 x 2.70;24.44;N;1.5;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S007;da al aire exterior, sobre la cubierta del edificio colindante (no llega a esta planta) | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F19;P1;FACHADA;SOBRE_CUBIERTA_COLINDANTE;EXTERIOR_SOBRE_VECINO;ALMACEN;EXTERIOR;0.84;2.70;0.84 x 2.70;2.26;O;281.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S009;da al aire exterior, sobre la cubierta del edificio colindante (no llega a esta planta) | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F20;P1;FACHADA;SOBRE_CUBIERTA_COLINDANTE;EXTERIOR_SOBRE_VECINO;ALMACEN;EXTERIOR;7.68;2.70;7.68 x 2.70;20.74;N;1.0;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S010;da al aire exterior, sobre la cubierta del edificio colindante (no llega a esta planta) | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
F21;P1;FACHADA;CALLE;EXTERIOR_CALLE;ALMACEN;EXTERIOR;3.20;2.70;3.20 x 2.70;8.64;O;271.2;CATASTRO_WFS_BU;USER_INPUT;0.50;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S012;fuera de la parcela | ALTO NO MEDIDO (valor dado con --floor-height): la superficie es provisional
SU01;PB;SUELO;TERRENO;TERRENO;VIVIENDA;TERRENO;;;;191.50;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;0;;;no hay planta construida debajo
CU01;PB;CUBIERTA;AIRE_EXTERIOR;AIRE_EXTERIOR;VIVIENDA;EXTERIOR;;;;117.32;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;0;;;la planta P1 no cubre esta parte
PH01;PB;PARTICION_INTERIOR_HORIZONTAL;ESPACIO_NO_HABITABLE_SUPERIOR;ESPACIO_NO_HABITABLE_SUPERIOR;VIVIENDA;ALMACEN;;;;74.18;;;UNAVAILABLE;UNAVAILABLE;0.43;true;INFERRED;INFERRED;COMPUTED;0;;;techo de PB bajo P1
PH02;P1;PARTICION_INTERIOR_HORIZONTAL;ENTRE_PLANTAS;ENTRE_PLANTAS;ALMACEN;VIVIENDA;;;;74.18;;;UNAVAILABLE;UNAVAILABLE;0.43;true;INFERRED;INFERRED;COMPUTED;1;;;suelo de P1 sobre PB
CU02;P1;CUBIERTA;AIRE_EXTERIOR;AIRE_EXTERIOR;ALMACEN;EXTERIOR;;;;74.18;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;1;;;no hay planta construida encima
