ID;planta;tipo;subtipo;contacto;espacio_origen;espacio_destino;largo_m;alto_m;largo_x_alto;superficie_m2;orientacion;azimut;fuente_largo;fuente_alto;confianza;requiere_revision;evidencia_largo;evidencia_alto;evidencia_superficie;nivel;ring;segmento_origen;nota
F09;P1;FACHADA;SOBRE_CUBIERTA_INFERIOR;EXTERIOR_SOBRE_CUBIERTA;VIVIENDA;EXTERIOR;10.00;2.70;10.00 x 2.70;27.00;E;90.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S002;da al aire exterior, levantado sobre la cubierta de la planta inferior | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F10;P1;FACHADA;CALLE;EXTERIOR_CALLE;VIVIENDA;EXTERIOR;8.00;2.70;8.00 x 2.70;21.60;N;0.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S003;fuera de la parcela | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
M03;P1;MEDIANERA;EDIFICIO_COLINDANTE;OTHER_BUILDING;VIVIENDA;EDIFICIO_VECINO;10.00;2.70;10.00 x 2.70;27.00;O;270.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;exterior;P1-S004;coincide con la huella de un edificio colindante | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F11;P1;FACHADA;PATIO;PATIO_EDIFICIO;VIVIENDA;EXTERIOR;2.00;2.70;2.00 x 2.70;5.40;E;90.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;interior;P1-S005;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F12;P1;FACHADA;PATIO;PATIO_EDIFICIO;VIVIENDA;EXTERIOR;3.00;2.70;3.00 x 2.70;8.10;S;180.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;interior;P1-S006;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F13;P1;FACHADA;PATIO;PATIO_EDIFICIO;VIVIENDA;EXTERIOR;2.00;2.70;2.00 x 2.70;5.40;O;270.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;interior;P1-S007;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
F14;P1;FACHADA;PATIO;PATIO_EDIFICIO;VIVIENDA;EXTERIOR;3.00;2.70;3.00 x 2.70;8.10;N;0.0;CATASTRO_WFS_BU;DEFAULT;0.30;true;MEASURED;MANUAL;COMPUTED;1;interior;P1-S008;borde de un hueco interior de la huella | ALTO NO MEDIDO (VALOR POR DEFECTO, no medido: revisar o pasar --floor-height): la superficie es provisional
SU01;PB;SUELO;TERRENO;TERRENO;ALMACEN;TERRENO;;;;114.00;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;0;;;no hay planta construida debajo
CU01;PB;CUBIERTA;AIRE_EXTERIOR;AIRE_EXTERIOR;ALMACEN;EXTERIOR;;;;40.00;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;0;;;la planta P1 no cubre esta parte
PH01;PB;PARTICION_INTERIOR_HORIZONTAL;ENTRE_PLANTAS;ENTRE_PLANTAS;ALMACEN;VIVIENDA;;;;74.00;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;0;;;techo de PB bajo P1
PH02;P1;PARTICION_INTERIOR_HORIZONTAL;ESPACIO_NO_HABITABLE_INFERIOR;ESPACIO_NO_HABITABLE_INFERIOR;VIVIENDA;ALMACEN;;;;74.00;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;1;;;suelo de P1 sobre PB
CU02;P1;CUBIERTA;AIRE_EXTERIOR;AIRE_EXTERIOR;VIVIENDA;EXTERIOR;;;;74.00;;;UNAVAILABLE;UNAVAILABLE;0.85;false;INFERRED;INFERRED;COMPUTED;1;;;no hay planta construida encima
